discography.id,discography.song_name,discography.lyrics,discography.album
51,Glimmer,"It's like, ""Oh, bass, cool""
You know how you make the bass better?
Crank the bass up (yeah)
You wanna make the kick drum better?
Just crank the bass up
And it's like, ""No, not really""
I just wanna let it go
I just wanna let it go
I just wanna let it go
I just wanna let it go
I just wanna let it go
I just wanna let it go",The Slow Rush
52,One More Hour,"Just a moment
Right before all the song and dance
Wasn't brave enough to tell you
But there ain't gonna be another chance
It's not long until
All that I have
And everything's still
The minutes are racin'
Whatever I've done
I did it for love
I did it for fun
Couldn't get enough
I did it for fame
But never for money
Not for houses
Not for her
Not for my future children
Until now
How could I love again?
How could I ever ask for more?
And to the road ahead
Into a life I can't ignore
how could I love again?
(Move on) how can I walk this path for sure?
(Lose her) with no more time to spend
(Move on) I know the answer more and more
As long as I can
Long as I can
Spend some time alone
As long as I can
Long as I can
Be the man I am
Oh, life is strange
For one more hour
I can rage
For one more hour
As long as I can (lose her)
As long as I can (move on)
Spend some time alone
As long as I can (lose her)
As long as I can (move on)
Remember who I am
As long as I can (lose her)
As long as I can (move on)
Spend some time alone
As long as I can
As long as I can (how could I love again?)
Be the man I am
Just a minute, fella, right before you go out there
All your voices said you wouldn't last a minute bare
One more hour and you'll know your life is one to share
Just a minute, baby, right before we go from here
All those people said we wouldn't last a minute near
I'm with you and I could roll into another year
Just a minute, fella, right before you go out there
All your voices said you wouldn't last a minute, bare
One more hour and you'll know your life is one to share
Just a minute, baby, right before we go from here
All those people said they wouldn't last a minute near
I'm with you and I could roll into another year
Just a minute fella right before you go out there",The Slow Rush
53,One Night/All Night,"Woman
'Cause if that's the only answer
Then we could be together
'Cause I wanna feel the pressure
And I could be your woman
'Cause if that's the only answer
Then we could be together
'Cause I wanna feel the pressure
And I could be your woman
'Cause if that's the only answer
Then we could be together
'Cause I wanna feel the pressure
And I could be your woman
'Cause if that's the only answеr
Then we could be togеther
'Cause I wanna feel the pressure
(And I could be your wo—)
Woman
'Cause if that's the only answer
Then we could be together
'Cause I wanna feel the pressure
And I could be your woman
'Cause if that's the only answer
Then we could be together
'Cause I wanna feel the pressure
And I could be your woman
'Cause if that's the only answer
Then we could be together
'Cause I wanna feel the pressure
(And I could be your woman)
One night
All night
One night
Going all night
We're goin' one night
Or all night
One night
Going all night
And I could be your woman
'Cause if that's the only answer
Then we could be together
'Cause I wanna feel the pressure
And I could be your woman
'Cause if that's the only answer
Then we could be together
'Cause I wanna feel the pressure",The Slow Rush
54,Journey To The Real World (From Barbie The Album),"Somewhere else there is to see
The future is a mystery
I wonder what we'll see
When we get to
The real world
We're going to
The real world
The real world",Journey To The Real World (From Barbie The Album)
55,Retina Show,"It's the retina show for your eye
It's the ego of instinctive desire
It's the reason that you make me break down and cry
It's the retina show for your eye
It's the ego of instinctive desire
It's the reason that you make me break down and cry
If you don't think it, then it won't show
And you believe it too
Baby, tonight, it's written all over you
Baby, tonight, it's written all over you
Make me, make me feel love
Make me, make me feel love
Make me, make me feel love
Make me, make me feel love
It's the retina show for your eye
It's the ego of instinctive desire
It's the reason that you make me break down and cry
If you don't think it, then it won't show
And you believe it too
Baby, tonight, it's written all over you
Baby, tonight, it's written all over you
It's the retina show for your eye
It's the ego of instinctive desire
It's the reason that you make me break down and cry
It's the retina show for your eye
It's the ego of instinctive desire
It's the reason that you make me break down and cry",Lonerism (20 Year Anniversary Edition / Unreleased Demos)
56,Sidetracked Soundtrack - Unreleased Demo,"Oh, my darling, why would you come back to me, baby?
I just don't know why
Already know I can't be alone
Don't know what some is
It's time to know, now just have to come and tell me
It could be the summer
It could be the summer
It could be the summer
It could be the summer",Lonerism (20 Year Anniversary Edition / Unreleased Demos)
57,The Boat I Row,"Many ways to go
It's hard to self-assure
When everyone's a pro
Sayin', ""It's so obvious""
But really they don't know (they don't know)
Just like a monster that is (they don't know shit)
Only a shadow (a shadow)
From which you're already runnin'
Easy, I suppose
And even if it takes a hundred
Thousand goes
That way's in front of me 'cause
That's the one I chose (I chose)
That's always staring at you
That's the boat I row (I row)
And though it seems to be
Endless problems, relentless
I know I'm oblivious
Bit overzealous and possibly jealous
I run 'til I'm breathless
Try to suppress it, I couldn't bear it
So onward I go
Many ways to go
It's hard to self-assure
When everyone's a pro
Sayin', ""It's so obvious""
But really they don't know (they don't know)
Just like a monster that is (they don't know shit)
Only a shadow (a shadow)
But you're already runnin'
Endless problems, relentless
I know I'm oblivious
Bit overzealous and possibly jealous
I run 'til I'm breathless
Try to suppress it, I couldn't bear it
So onward I go",The Slow Rush B-Sides & Remixes
58,No Choice,"It doesn't matter if I want to go somewhere new
At the end of the day, I have no choice
It wouldn't matter that I had to break it with you
Going over and over brings no joy
It doesn't matter if I want to go somewhere new
At the end of the day, I have no choice
And if you're telling me that I've got so much to lose
All the talking about it, it's all noise
Nice and short
There must be something more
Life's a chore
What are we living for?
Let it out
I can see now
Try to hold down
I feel now
All the constants in your future bore you
Kinda makes your mind up for you
Knowing just what lies before you
Gives you no surprise
It doesn't matter if I want to go somewhere new
At the end of the day, I have no choice
It wouldn't matter that I had to break it with you
Going over and over brings no joy
Nice and short
There must be something more
Life's a chore
What are we living for?
Source: LyricFind",The Slow Rush B-Sides & Remixes
59,My Life,"Don't tell me
It's all in my mind
In my mind
Don't tell me
It's all in my mind
In my mind
Don't tell me
Don't tell me
Don't tell me
It's all in my mind
In my mind
Don't tell me
It's all in my mind
In my mind
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Don't tell me
It's all in my mind
In my mind
Don't tell me
It's all in my mind
In my mind
Don't tell me
Don't tell me
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life
Let me live my life",My Life
60,List of People (to Try and Forget About),"Now I gotta add you to my list of people to try and forget about
Now I gotta add yours to my list of faces to try and not think about
Now I gotta tell 'em I don't care and hope that nobody might work it out
It was obviously an illusion 'cause there's never been so much I've been wrong about
And I don't want to spend all my days thinking of the one I can't live without
So I'm gonna have to add you to my list of people to try and forget about
Try and for-
And as the years go by
Your name will fade out gradually
They'll think my heart went dry
But it was waiting in-
So now I gotta add you to my list of people to try and forget about
It could've been magic, nearly had ya
Could you imagine? Nearly had ya
'Til it becomes another one of the things that I just can't talk about
I'm gonna have to keep you on my list of people to try and forget about
Try and for-
And as the years go by
Your name will fade out gradually
They'll think my heart went dry
But it was waiting in the wings
And as the years go by
You're still a banished memory
They'll say my love has died
But it was waiting in the wings",Currents B-Sides & Remixes
61,Taxi's Here,"I was trying to resolve in a way that felt natural
Ooh, I was hoping it would come out right
Who was I kidding?
Push the button and start counting down
Ooh, time is crawling to the moment
Beyond which
I can choose
I can fall
I can lose control
I concur
With the doubt
But I can't
Turn back 'round
And they dread
What's beyond
But time
Is rolling on
Rolling on
Now let's do this right
Everybody (and I'll be trying)
It won't come out right
I can fold
I can lose control
I can lose control
I can face the unknown (ooh)
Yes, I must
Venture there
If I fail (ooh)
I don't care
There's so much
Left unclear
But it's time
Taxi's here",Currents B-Sides & Remixes
62,Beverly Laurel,"Why do they say that they
Know what's right for me?
Hey, I know what's right for me
Why do they say that they
Know what's right for me?
Hey, I know what's right for me
I know what's right i know what's right
I know what's right for me
I know what's right i know what's right
I know what's right for me
I know what's right for me
I know what's right for me
I know what's right for me
I know what's right for me",Lonerism B-Sides & Remixes
