discography.id,discography.song_name,discography.lyrics,discography.album
19,Be Above It,"Gotta be above it
Gotta be above it

And I know that I gotta be above it now
And I know that I can't let them bring me down
And I gotta bide my time as a face in the crowd
And I know that I gotta be above it now

And I know that I gotta be above it now

And I gotta bide my time as a face in the crowd
And I know that I gotta be above it now
And I cannot let them all just bring me down

This time I'm just gonna take it all
I'm never gonna shake it up
I'll just close my eyes and make so that all the things don't affect me now
I know that I gotta be above it now

And I cannot let them all just bring me down

This time I'm just gonna take or I'm never gonna shake it
I'll just close my eyes and make so that all the things don't affect me now

Gotta be above it
Gotta be above it",Lonerism
20,Endors Toi,"Soothing repeat,
I look down at my feet,
It's a hypnotist's arm,
And it works like a charm.
But I won't be deprived,
Real worlds, surreal life,
Do or die,
There is time,
Go to sleep,
You'll be fine.
In the morning you'll find,
Real life was such a grind.
Off I go, day is done
Where a new one's just begun.",Lonerism
21,Apocalypse Dreams,"This could be the day that we push through
It could be the day that all our dreams come true
For me and you
'Til we're at the end of just another day

Are you too terrified to try your best?
Just to end up with an educated guess
Like success
Like those times you wake up mystified

Oh it feels so real in my sleep
Never felt so good, so close I do with you
Into the day, the strangest feeling
Do you really live without the fear?

Everything is changing
And there's nothing I can do
My world is turning pages
While I am just sitting here

Well, am I getting closer?
Will I ever get there?
Does it even matter?
Do I really need it?
Wish that I'd remember
And I'm on the outcome

Push it out the window
On and on we all go
Into another morning
It was only yesterday
Didn't even know you
Now I'm gonna miss you

Nothing ever changes
No matter how long you do your hair
Looks the same to everyone else
Everything is changing
I guess I should warn my mum
But she'll just be excited",Lonerism
22,Music To Walk Home By,"But that's only when I think of you
Some vision that I hold on to
You know it's everything I do
You know it's everything I do

Can almost stand competing with the others
Can almost hear the fun that I should be having
Instead of all this dreaming

But it's only when I think of you
The mover I could turn into
There must be something I can do
There must be something I can do

But I just don't know
How to feel right
A beautiful girl
Is wasting my life
I'm playing a part
As somebody else
While trying so hard
To be myself
I just need to hear
Somebody say
That this will make sense one day
I guess I'm alright
But they're all doing so well
What I would give
To be under that spell

You'll know soon, you'll know soon
You'll know soon, you'll know soon
You'll know soon, you'll know soon, yeah
Yeah-yeah-yeah, yeah-yeah-yeah

In so many ways
I'm somebody else
I'm trying so hard
To be myself
I just need to hear
Somebody say
That this will all make
Sense one day

Well it's getting late
I'd better go
I made it this far
As far as I know",Lonerism
23,Why Won't They Talk To Me?,"Out of the zone
Trying to see
I'm so alone
Nothing for me
I guess I'll go home
Try to be sane
Try to pretend
None of it happened
Oh this old tree
Lonely old me
Whoops-a-daisy
I thought I was happy

Out of the zone
Now that I see
I don't need them
And they don't need me
I guess I'll go home
Try to be sane
Try to pretend
None of it happened
Destined to be
Lonely old me
Whoops-a-daisy
I thought I was happy

Ah, why won't they talk to me? (I thought I was happy)
Ah, why won't they talk to me? (I thought I was happy)
Ah, why won't they talk to me? (I thought I was happy)
Ah, why won't they talk to me? (Aaaah-aaaah)
Ah, why won't they talk to me?

But I don't even care about it anyway
I wouldn't listen to a word any of them say
They just talk about themselves all day
One day I'll be a star and they'll be sorry",Lonerism
24,Feels Like We Only Go Backwards,"It feels like I only go backwards baby,
Every part of me says go ahead,
I've got my hopes up again, oh no, not again.
It feels like we only go backwards, darlin'

I know that you think you've set sail when you call my name
But I get it inside my head all day
When I realize I'm just hopin' onto the hope that
Maybe, your feelings don't show

It feels like I only go backwards, baby,
Every part of me says go ahead,
I've got my hopes up again, oh no, not again
It feels like we only go backwards, darlin'

The seed of all this indecision isn't me, oh no
'Cause I decided long ago
But that's the way it seems to go,
When trying so hard to get to something real, it feels

It feels like I only go backwards, darlin',
Every part of me says go ahead,
I've got my hopes up again, oh no, not again
It feels like we only go backwards, darlin'

It feels like I only go backwards, baby,
Every part of me says go ahead,
I've got my hopes up again, oh no, not again
It feels like we only go backwards, darlin'

It feels like I only go backwards, baby,
Every part of me says go ahead,
I've got my hopes up again, oh no, not again
It feels like we only go backwards, darlin'",Lonerism
25,Keep On Lying,"All I give are little clues
Maybe one day I'll get through
But there is nothing I can do
I'll just keep on lying to you

I only need to say its true
Your poor little heart already knew
But there is nothing you can do
I'll just keep on lying to you

Should my cover ever blow
Would you ever let it go?
There is something you should know
But hell if I'd ever let it show

So here I am, trying to be strong
It was noon, now my shadow's long
I guess I'll go and tell you just as soon as I get to the end of this song
To the end of this song, to the end of this song
To the end of this song, to the end of this song

The curse has won again
Soon I'll be alone
Take all you can
But please understand
It never really was love

All I give are little clues
Maybe one day I'll get through
But there is nothing I can do
I'll just keep on lying to you",Lonerism
26,Elephant,"Bet he feels like an elephant
Shaking his big grey trunk for the hell of it
You know that you're dreaming about being loved by him
Too bad your chances are slim
And it's not like Mr. Shock
To get shy when I ask who always is on top?
There must be something deep down in the middle down there
He's not too easily scared
He's got friends but they got the feeling
Wouldn't care too much if he just disappeared
Oh, look, see there he is now coming down the stairs
(Here he comes)
He pulled the mirrors off his Cadillac (yeah)
'Cause he doesn't like it looking like he looks back
He talks like his opinion is a simple fact
Somebody grabbed his collar
He cried the whole way home
He won't remember a thing 'til it starts again
That's how it is 'til the end (yeah)",Lonerism
27,She Just Won't Believe Me,"But she just won't believe me,
She just won't believe me
I never meant to see him
But she just won't believe me",Lonerism
28,Nothing That Has Happened So Far Has Been Anything We Could Control,"Nothing that has happened so far has
Been anything we could control.
I have just been waiting for the perfect
Time to tell you I don't know.
Maybe I'm just reading into it a
Little deeper than I should.
We would make it easy we would take
It slowly if only we could.

Elodie,
Look at me,
Unless you're trying to hurt me
Heavy blow,
Down I go
Now I just want to let go.

Is it right?
Is it wrong?
I don't know,
It's not the cause I'm fighting for
Anymore
But it sucks to keep on running.

Eventually,
There will be
A time for clearer thinking
For now I weep
Can't get to sleep
I try to hold a good feeling.
I just get one,
Here it comes,
There it goes,
And we just might,
Lose the fight, yeah
But it's alright
It wasn't our decision.

Nothing that has happened so far
Has been anything we could control.
I have just been waiting for the perfect
Time to tell you that I know
Every man is happy until
Happiness is suddenly a goal.
I'll just be here waiting till the
Doctor calls and then I'll let you know.",Lonerism
